verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Anopheles (Anopheles) pseudopunctipennis,16.165556,-97.743889,100.0,2002,27.01656,11.67559,63.50883,140.97095,35.65015,17.26595,18.3842,28.28949,25.50656,1158.75256,292.66769,1.89746,112.12568,710.0188,17.91972,24.0
Anopheles (Anopheles) pseudopunctipennis,16.482861,-96.05825,100.0,2001,22.93204,14.30783,69.41733,155.08687,32.97557,12.36425,20.61132,24.41183,21.02399,669.94189,142.4493,0.97607,102.24889,369.29178,14.18664,899.0
Anopheles (Anopheles) pseudopunctipennis,17.319,-96.493305,90.0,2002,17.39664,12.34691,63.74918,172.71881,27.27142,7.90347,19.36795,19.36151,15.37379,894.61859,170.164,7.22606,87.26587,478.09711,49.16679,1796.5
Anopheles (Anopheles) pseudopunctipennis,25.599167,-107.745555,50.0,1990,23.91831,16.52662,59.76788,435.68832,36.57552,8.92418,27.65134,28.92486,19.32887,835.61884,232.856,2.96016,119.09164,608.013,13.96191,227.0
Anopheles (Anopheles) pseudopunctipennis,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Anopheles) pseudopunctipennis,16.763611,-90.99175,90.0,2001,25.40315,12.51849,60.35987,232.07907,36.68976,15.95,20.73976,27.80507,22.6301,2394.9187,430.87009,54.41219,65.85452,1090.62646,194.06702,149.0
Anopheles (Anopheles) pseudopunctipennis,17.319,-96.493305,90.0,2001,17.39664,12.34691,63.74918,172.71881,27.27142,7.90347,19.36795,19.36151,15.37379,894.61859,170.164,7.22606,87.26587,478.09711,49.16679,1796.5
Anopheles (Anopheles) pseudopunctipennis,15.075,-92.225,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,639.5
Anopheles (Anopheles) pseudopunctipennis,16.1145,-91.730111,100.0,2002,18.09844,10.09473,63.55873,151.38988,26.1185,10.23597,15.88253,19.56023,16.23881,1418.8512,268.69,25.20402,78.97345,653.92401,84.5224,1497.5
Anopheles (Anopheles) pseudopunctipennis,17.470833,-101.241667,100.0,2002,26.1382,11.50765,71.55591,123.63635,33.21135,17.12931,16.08204,27.28184,24.76964,939.39752,283.56409,0.25308,118.34653,608.88458,4.02961,21.0
Anopheles (Anopheles) pseudopunctipennis,16.092083,-93.709194,100.0,2001,27.42314,11.64463,72.28577,108.09557,35.06795,18.95879,16.10916,28.5545,26.25002,1546.97485,315.20432,1.75176,102.5036,884.23895,20.13629,147.0
Anopheles (Anopheles) pseudopunctipennis,16.414083,-95.597222,100.0,2001,26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185.0
Anopheles (Anopheles) pseudopunctipennis,16.188778,-93.845389,100.0,2001,27.86759,11.97362,72.09997,115.74683,35.75299,19.14602,16.60697,28.93616,26.58256,1380.15894,274.98181,2.40568,101.96683,777.46283,19.06941,56.0
Anopheles (Anopheles) pseudopunctipennis,16.528333,-93.912778,100.0,2002,23.60744,12.38214,70.20168,130.92496,32.1715,14.53355,17.63795,24.81136,21.98293,775.79974,161.1646,3.30929,103.8479,463.39029,13.47941,676.0
Anopheles (Anopheles) pseudopunctipennis,16.922222,-96.3625,100.0,2003,17.39584,13.07947,70.08584,157.29506,26.72541,8.06333,18.66208,19.07998,15.45851,591.68384,113.9404,5.82462,86.63725,301.44977,30.92478,1685.0
Anopheles (Anopheles) pseudopunctipennis,16.414083,-95.597222,100.0,2002,26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185.0
Anopheles (Anopheles) pseudopunctipennis,17.305556,-96.509055,90.0,2002,18.17257,13.0699,63.5037,184.9843,28.62965,8.04833,20.58132,20.24669,15.9876,856.30798,166.08189,6.3392,87.81538,461.67059,47.98295,1656.5
Anopheles (Anopheles) pseudopunctipennis,16.448833,-94.362305,100.0,2001,27.10027,13.88552,68.53345,159.1181,36.75455,16.49361,20.26094,28.54168,25.18666,1247.93115,281.26511,1.97534,106.31991,728.97131,9.10062,62.5
Anopheles (Anopheles) pseudopunctipennis,15.081389,-92.316944,100.0,1990,26.29857,12.91622,73.7578,94.11402,34.72412,17.21245,17.51167,27.31051,25.25189,3223.53223,620.64429,9.87966,87.87015,1602.10132,80.90418,339.0
Anopheles (Anopheles) pseudopunctipennis,16.412222,-95.599167,100.0,2003,26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185.0
Anopheles (Anopheles) pseudopunctipennis,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Anopheles) pseudopunctipennis,16.091306,-95.406,100.0,2002,27.22988,12.93191,72.20674,121.81042,35.61342,17.70386,17.90956,28.20517,25.81745,597.90869,139.27879,0.49241,116.13288,381.7912,5.67513,28.5
Anopheles (Anopheles) pseudopunctipennis,25.975,-100.408333,50.0,1990,20.63889,13.43588,49.23566,527.26904,33.59624,6.30731,27.28893,26.61559,14.75458,405.28555,103.6301,10.52506,78.03698,206.33644,31.87794,614.0
Anopheles (Anopheles) pseudopunctipennis,16.925028,-96.330278,100.0,2002,16.89867,12.4706,70.16257,148.0376,25.79629,8.02242,17.77387,18.51705,15.08362,697.83093,130.9747,6.92205,85.97118,353.67593,34.94457,1756.0
Anopheles (Anopheles) pseudopunctipennis,15.102222,-92.216667,100.0,2002,23.20149,12.25,78.7095,78.67156,30.60808,15.04452,15.56356,23.89981,22.33405,3759.6123,682.62659,21.90355,83.51361,1811.25647,155.91521,1013.0
Anopheles (Anopheles) pseudopunctipennis,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Anopheles) pseudopunctipennis,15.076111,-92.225,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,682.0
Anopheles (Anopheles) pseudopunctipennis,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Anopheles) pseudopunctipennis,16.416667,-95.026722,100.0,2002,27.15306,10.44619,61.79608,164.43501,35.39917,18.49488,16.90429,28.6317,25.24541,940.42578,223.2905,1.40698,114.91698,578.80347,9.08853,21.0
Anopheles (Anopheles) pseudopunctipennis,16.406028,-95.586222,100.0,2001,26.5673,13.0942,66.84892,167.3882,35.92978,16.34203,19.58775,28.17538,24.58031,732.02319,167.1091,2.03211,110.7541,458.01971,10.33467,214.0
Anopheles (Anopheles) pseudopunctipennis,16.097222,-90.970833,100.0,1990,24.93257,9.86636,57.6512,196.1604,33.7561,16.64221,17.11389,26.83168,22.53796,3387.8374,687.65082,53.10445,82.41035,1843.76807,202.34906,158.5
Anopheles (Anopheles) pseudopunctipennis,15.979639,-95.638778,100.0,2002,26.81159,13.53512,75.16272,111.34316,35.14751,17.13976,18.00775,27.65626,25.55461,681.27435,164.3382,1.15409,111.87808,428.8335,8.51293,21.0
Anopheles (Anopheles) pseudopunctipennis,16.097361,-91.62925,100.0,2002,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
Anopheles (Anopheles) pseudopunctipennis,17.325,-96.491667,90.0,2003,16.60518,12.2001,65.8013,158.71568,26.27312,7.7323,18.54082,18.58377,14.79607,915.69202,172.2258,8.09356,87.15936,480.63672,46.07384,1796.5
Anopheles (Anopheles) pseudopunctipennis,16.558055,-94.605833,100.0,2002,26.78448,12.98316,65.74218,170.74088,36.49579,16.74719,19.7486,28.33774,24.73046,1187.29749,265.10019,2.73263,106.77171,687.66931,12.10715,59.0
Anopheles (Anopheles) pseudopunctipennis,16.414167,-95.5975,100.0,2001,26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185.0
Anopheles (Anopheles) pseudopunctipennis,16.402806,-94.21625,100.0,2002,26.99856,13.36399,69.52735,145.00502,36.11052,16.88932,19.2212,28.28754,25.26787,1131.7865,245.8338,2.69077,104.22623,654.05493,11.34089,85.0
Anopheles (Anopheles) pseudopunctipennis,16.096667,-91.628889,100.0,2002,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
Anopheles (Anopheles) pseudopunctipennis,16.500556,-96.104333,100.0,2001,23.03786,14.52223,68.88847,160.73639,33.32191,12.24112,21.08079,24.5903,21.05733,642.36102,134.3568,1.12247,100.57008,349.1452,14.8163,867.5
Anopheles (Anopheles) pseudopunctipennis,16.579444,-96.738889,100.0,2001,20.30725,16.18707,69.10963,187.99106,31.27581,7.8535,23.42231,22.19241,18.03752,679.53955,141.98511,1.01884,90.70528,361.27249,20.18799,1450.0
Anopheles (Anopheles) pseudopunctipennis,16.583333,-92.509444,100.0,2002,15.88367,13.28175,72.89703,145.11005,24.60634,6.38646,18.21988,17.22742,14.04843,1244.16064,246.4185,12.58715,86.04734,593.89337,53.57431,1930.0
Anopheles (Anopheles) pseudopunctipennis,16.126806,-91.731444,100.0,2002,18.10406,10.12915,63.53107,152.4068,26.1551,10.21149,15.94361,19.57471,16.2318,1409.65894,266.69489,25.39406,78.81056,649.5769,84.75272,1483.5
Anopheles (Anopheles) pseudopunctipennis,17.544278,-99.276278,90.0,2001,18.0973,13.25307,72.78967,115.47556,27.09331,8.88595,18.20736,19.25511,16.75477,1160.44214,253.12289,5.36074,106.62327,713.60199,21.49603,1868.0
Anopheles (Anopheles) pseudopunctipennis,15.981306,-95.643917,100.0,2001,26.88485,13.50809,75.039,111.7927,35.22028,17.21886,18.00142,27.73379,25.62625,687.67273,165.52299,1.25043,111.76647,432.91071,8.79618,23.0
Anopheles (Anopheles) pseudopunctipennis,16.335,-90.764167,100.0,1990,24.92851,10.76565,58.73561,208.20856,34.47678,16.14779,18.32899,26.96737,22.38198,2952.82324,563.4707,54.84028,75.06437,1514.57837,196.39294,128.0
Anopheles (Anopheles) pseudopunctipennis,15.888333,-96.926389,100.0,2002,25.55114,13.32619,70.38339,133.4798,33.93785,15.00414,18.93371,26.7543,24.08158,1012.46655,254.99071,0.97228,116.13208,653.5575,11.85346,119.5
Anopheles (Anopheles) pseudopunctipennis,16.191194,-93.846833,100.0,2002,27.86759,11.97362,72.09997,115.74683,35.75299,19.14602,16.60697,28.93616,26.58256,1380.15894,274.98181,2.40568,101.96683,777.46283,19.06941,56.0
Anopheles (Anopheles) pseudopunctipennis,25.975,-100.408333,50.0,1990,20.63889,13.43588,49.23566,527.26904,33.59624,6.30731,27.28893,26.61559,14.75458,405.28555,103.6301,10.52506,78.03698,206.33644,31.87794,614.0
Anopheles (Anopheles) pseudopunctipennis,16.379444,-95.150278,100.0,2002,27.19409,10.64715,63.04541,157.74767,35.33131,18.44325,16.88806,28.61017,25.36591,865.62097,208.17191,1.23638,115.50264,541.83698,8.10992,21.0
Anopheles (Anopheles) pseudopunctipennis,17.152333,-100.41075,100.0,2001,26.71989,10.46125,70.39651,112.27805,33.3939,18.53344,14.86046,27.67698,25.53827,1084.77429,297.61938,0.34545,116.7444,684.8819,3.45714,28.5
Anopheles (Anopheles) pseudopunctipennis,15.075,-92.225,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,639.5
Anopheles (Anopheles) pseudopunctipennis,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Anopheles) pseudopunctipennis,18.307778,-99.421389,90.0,2002,24.87657,15.36222,66.77678,201.51457,36.61992,13.61459,23.00533,27.27505,22.52623,927.24017,199.608,2.10848,111.94743,585.83362,8.77993,856.0
Anopheles (Anopheles) pseudopunctipennis,15.0775,-92.222222,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,677.0
Anopheles (Anopheles) pseudopunctipennis,16.097417,-91.628472,100.0,2002,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
Anopheles (Anopheles) pseudopunctipennis,16.414167,-95.5975,100.0,2002,26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185.0
Anopheles (Anopheles) pseudopunctipennis,16.331361,-95.234305,100.0,2002,27.32621,11.24761,64.95366,152.8725,35.60533,18.28897,17.31636,28.69428,25.55096,812.98407,194.48151,1.0411,115.87791,514.63568,7.83317,43.0
Anopheles (Anopheles) pseudopunctipennis,16.080389,-91.667944,100.0,2001,17.90638,9.75032,62.98069,148.69247,25.766,10.28456,15.48144,19.34906,16.09411,1462.65833,276.1485,26.86112,78.11268,669.88751,89.9813,1516.5
Anopheles (Anopheles) pseudopunctipennis,15.888333,-96.926389,100.0,2002,25.55114,13.32619,70.38339,133.4798,33.93785,15.00414,18.93371,26.7543,24.08158,1012.46655,254.99071,0.97228,116.13208,653.5575,11.85346,119.5
Anopheles (Anopheles) pseudopunctipennis,16.096667,-91.628889,100.0,2002,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
Anopheles (Anopheles) pseudopunctipennis,16.117944,-91.727861,100.0,2001,18.11851,10.11029,63.52774,151.95932,26.15561,10.24085,15.91476,19.58514,16.25168,1414.58606,267.75159,25.2889,78.93187,652.16357,84.562,1475.5
Anopheles (Anopheles) pseudopunctipennis,15.826361,-96.471222,100.0,2002,25.42628,13.96973,72.65894,120.1078,34.38931,15.16286,19.22645,26.49821,24.14042,1118.9082,274.31979,2.50397,111.14222,670.27631,15.92027,224.0
Anopheles (Anopheles) pseudopunctipennis,17.205806,-100.628555,100.0,2001,26.52997,10.54671,71.32267,114.82368,33.06295,18.27563,14.78732,27.50806,25.33354,995.88196,275.90131,0.34309,117.12443,627.68433,3.69122,26.0
Anopheles (Anopheles) pseudopunctipennis,16.659889,-96.289694,100.0,2001,23.38254,15.13835,65.90694,189.15808,34.62626,11.65697,22.96929,25.28282,21.04001,573.1734,123.0681,2.22117,93.99483,310.35754,18.24859,933.0
Anopheles (Anopheles) pseudopunctipennis,16.427944,-95.540167,100.0,2001,26.80541,12.82999,66.09809,169.95412,36.10316,16.69263,19.41053,28.43796,24.80346,745.76172,169.02451,2.01148,112.13026,471.9552,10.42447,177.5
Anopheles (Anopheles) pseudopunctipennis,18.294444,-99.466944,90.0,2001,24.89915,15.19392,66.63097,200.69232,36.61524,13.81215,22.80309,27.32621,22.57218,934.89294,201.1736,2.23315,112.08598,590.44421,8.89572,844.0
Anopheles (Anopheles) pseudopunctipennis,17.569444,-98.953611,90.0,2002,19.64132,13.87628,73.65233,123.00547,29.14798,10.30773,18.84025,21.01804,18.22475,1027.01758,224.5005,4.96216,107.83879,632.4917,16.60158,1748.0
Anopheles (Anopheles) pseudopunctipennis,17.1525,-100.410278,100.0,2002,26.71989,10.46125,70.39651,112.27805,33.3939,18.53344,14.86046,27.67698,25.53827,1084.77429,297.61938,0.34545,116.7444,684.8819,3.45714,28.5
Anopheles (Anopheles) pseudopunctipennis,18.307778,-99.421389,90.0,2002,24.87657,15.36222,66.77678,201.51457,36.61992,13.61459,23.00533,27.27505,22.52623,927.24017,199.608,2.10848,111.94743,585.83362,8.77993,856.0
Anopheles (Anopheles) pseudopunctipennis,16.097389,-91.629472,100.0,2001,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
Anopheles (Anopheles) pseudopunctipennis,16.578889,-96.734167,100.0,2001,20.30725,16.18707,69.10963,187.99106,31.27581,7.8535,23.42231,22.19241,18.03752,679.53955,141.98511,1.01884,90.70528,361.27249,20.18799,1450.0
Anopheles (Anopheles) pseudopunctipennis,15.0775,-92.222222,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,677.0
Anopheles (Anopheles) pseudopunctipennis,15.173889,-92.699167,100.0,2002,27.54657,13.01019,74.56474,101.28564,35.50444,18.05626,17.44818,28.40624,26.41299,3041.27295,605.62891,7.08867,93.35766,1623.24744,49.71323,9.5
Anopheles (Anopheles) pseudopunctipennis,15.076111,-92.225,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,682.0
Anopheles (Anopheles) pseudopunctipennis,15.776417,-96.438167,100.0,2002,25.59634,13.86041,73.10276,117.07122,34.40726,15.44709,18.96017,26.62295,24.35369,1132.29138,273.1196,2.52454,111.16888,675.95789,15.49127,154.0
Anopheles (Anopheles) pseudopunctipennis,15.888333,-96.926389,100.0,2002,25.55114,13.32619,70.38339,133.4798,33.93785,15.00414,18.93371,26.7543,24.08158,1012.46655,254.99071,0.97228,116.13208,653.5575,11.85346,119.5
Anopheles (Anopheles) pseudopunctipennis,18.270833,-100.473333,90.0,2002,27.1689,14.73411,61.83741,223.44296,40.06138,16.2342,23.82718,30.15566,24.97576,1110.87927,255.3743,2.0389,118.1236,734.5752,6.91323,347.0
Anopheles (Anopheles) pseudopunctipennis,16.913667,-99.962944,100.0,2001,26.53684,10.48944,69.8736,119.13463,33.16769,18.15567,15.01202,27.58943,25.29137,1200.7998,303.38129,0.74133,118.54807,789.17651,6.17613,15.0
Anopheles (Anopheles) pseudopunctipennis,15.888333,-96.926389,100.0,2002,25.55114,13.32619,70.38339,133.4798,33.93785,15.00414,18.93371,26.7543,24.08158,1012.46655,254.99071,0.97228,116.13208,653.5575,11.85346,119.5
Anopheles (Anopheles) pseudopunctipennis,18.294444,-99.465555,90.0,2001,24.90025,15.21703,66.66729,200.68968,36.61534,13.79001,22.82533,27.32148,22.57091,932.46216,200.3735,2.2073,112.0519,588.8418,8.86383,844.0
Anopheles (Anopheles) pseudopunctipennis,25.599167,-107.745555,50.0,1990,23.91831,16.52662,59.76788,435.68832,36.57552,8.92418,27.65134,28.92486,19.32887,835.61884,232.856,2.96016,119.09164,608.013,13.96191,227.0
Anopheles (Anopheles) pseudopunctipennis,16.120278,-91.155555,100.0,1990,24.59557,10.15336,58.86828,189.6451,33.45054,16.20295,17.24759,26.40303,22.2864,3152.34814,603.19012,51.84761,80.17088,1644.53955,200.58485,285.5
Anopheles (Anopheles) pseudopunctipennis,15.0775,-92.222222,100.0,1990,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,677.0
Anopheles (Anopheles) pseudopunctipennis,16.755694,-96.680528,100.0,2002,20.06442,16.06455,70.26637,182.15085,31.08849,8.22613,22.86236,21.88074,17.79938,640.48688,136.13341,1.21704,89.81317,337.73337,19.12457,1521.0
Anopheles (Anopheles) pseudopunctipennis,18.384444,-100.145555,90.0,2002,24.78945,14.19398,66.99616,170.33315,36.20603,15.01977,21.18626,27.17692,23.12097,1153.32849,290.70969,1.8346,116.91705,761.67908,7.76327,963.5
Anopheles (Anopheles) pseudopunctipennis,16.578694,-96.736055,100.0,2001,20.30725,16.18707,69.10963,187.99106,31.27581,7.8535,23.42231,22.19241,18.03752,679.53955,141.98511,1.01884,90.70528,361.27249,20.18799,1450.0
Anopheles (Anopheles) pseudopunctipennis,16.379722,-95.150278,100.0,2001,27.19409,10.64715,63.04541,157.74767,35.33131,18.44325,16.88806,28.61017,25.36591,865.62097,208.17191,1.23638,115.50264,541.83698,8.10992,21.0
Anopheles (Anopheles) pseudopunctipennis,15.7825,-96.400944,100.0,2002,25.45564,13.88733,73.49675,113.28316,34.26704,15.37188,18.89516,26.43869,24.25586,1160.59839,276.90811,2.35498,110.82861,688.28534,16.1999,201.0
Anopheles (Anopheles) pseudopunctipennis,18.294722,-99.465833,90.0,2002,24.90025,15.21703,66.66729,200.68968,36.61534,13.79001,22.82533,27.32148,22.57091,932.46216,200.3735,2.2073,112.0519,588.8418,8.86383,844.0
Anopheles (Anopheles) pseudopunctipennis,16.0875,-91.094444,100.0,1990,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Anopheles) pseudopunctipennis,16.564611,-95.094278,100.0,2001,26.66202,10.05076,59.44952,176.16982,34.96935,18.06297,16.90638,28.30161,24.61206,1003.54565,232.97639,4.51122,110.44044,603.77521,13.72869,60.5
Anopheles (Anopheles) pseudopunctipennis,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Anopheles) pseudopunctipennis,15.968556,-95.587333,100.0,2001,26.91016,13.45949,75.14407,110.76821,35.20077,17.2892,17.91157,27.73561,25.66514,654.98364,156.386,0.89856,112.83875,413.45691,7.60062,21.0
Anopheles (Anopheles) pseudopunctipennis,16.096667,-91.628889,100.0,2002,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
